id,eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1,natlty1_txt,gname,guncertain1,individual,weaptype1,weaptype1_txt,nkill,property,ishostkid,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY
143398,201501250022,2015,1,25,0,60,Egypt,10,Middle East & North Africa,Dakahlia,Unknown,31.091713000000002,31.488465,4.0,0,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,19,Transportation,100.0,Train/Train Tracks/Trolley,Train,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143399,201501250023,2015,1,25,0,60,Egypt,10,Middle East & North Africa,Faiyum,Faiyum,29.311707000000002,30.838812,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,1,0.0,START Primary Collection,-9,-9,0,-9
143400,201501250024,2015,1,25,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,2,Armed Assault,3,Police,24.0,Police Checkpoint,Checkpoint,60.0,Egypt,Unknown,0.0,0,5,Firearms,2.0,0,0.0,START Primary Collection,-9,-9,0,-9
143432,201501250061,2015,1,25,1,60,Egypt,10,Middle East & North Africa,North Sinai,Sheikh Zuweid,31.212225,34.117065000000004,1.0,1,1,1,1,0.0,0.0,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,68.0,Named Civilian,Civilian: Mohamed Ali,60.0,Egypt,Sinai Province of the Islamic State,0.0,0,9,Melee,1.0,0,1.0,START Primary Collection,0,0,0,0
143439,201501250073,2015,1,25,0,60,Egypt,10,Middle East & North Africa,Monufia,Unknown,30.597245,30.987632,4.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,21,Utilities,107.0,Electricity,Power Pylon,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,1,0.0,START Primary Collection,-9,-9,0,-9
143440,201501250074,2015,1,25,0,60,Egypt,10,Middle East & North Africa,Monufia,Unknown,30.597245,30.987632,4.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,21,Utilities,107.0,Electricity,Power Pylon,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,1,0.0,START Primary Collection,-9,-9,0,-9
143443,201501250083,2015,1,25,0,60,Egypt,10,Middle East & North Africa,North Sinai,Arish,31.126646,33.800865,1.0,0,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143470,201501260045,2015,1,26,0,60,Egypt,10,Middle East & North Africa,North Sinai,Sheikh Zuweid,31.212225,34.117065000000004,1.0,0,1,1,1,0.0,0.0,1,0,2,Armed Assault,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,60.0,Egypt,Unknown,0.0,0,5,Firearms,3.0,0,0.0,START Primary Collection,-9,-9,0,-9
143501,201501260082,2015,1,25,0,60,Egypt,10,Middle East & North Africa,North Sinai,Arish,31.126646,33.800865,1.0,0,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,1,Business,7.0,Retail/Grocery/Bakery,Shop,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143516,201501270016,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Qalyubia,Unknown,30.329237,31.216846999999998,4.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,3,Police,24.0,Police Checkpoint,Checkpoint,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143517,201501270017,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,2,Government (General),14.0,Judge/Attorney/Court,Courthouse,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143518,201501270018,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Alexandria,Unknown,31.200091999999998,29.918739000000002,4.0,0,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143519,201501270019,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Faiyum,Unknown,29.308327000000002,30.844256,4.0,0,1,1,1,0.0,1.0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143521,201501270022,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Alexandria,Alexandria,31.200091999999998,29.918739000000002,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Muslim Brotherhood,0.0,0,6,Explosives,1.0,0,0.0,START Primary Collection,0,1,0,1
